id	package	surface	capability	parent	description
pi-agent-documented-contract-1-add-explicit-tool-registry-read-update-semanti-3f8f1bd20c	agent	documented-contract	agent-harness		Documented contract: 1. Add explicit tool registry read/update semantics (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-1-error-policy-must-be-explicit-72f18b7bc7	agent	documented-contract	hooks		Documented contract: 1. Error policy must be explicit (packages/agent/docs/hooks.md)
pi-agent-documented-contract-10-complete-low-level-result-cleanup-0fc3fa90e9	agent	documented-contract	agent-harness		Documented contract: 10. Complete low-level `Result` cleanup (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-2-design-per-agentharness-model-registry-a8cee02856	agent	documented-contract	agent-harness		Documented contract: 2. Design per-`AgentHarness` model registry (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-2-source-metadata-matters-e7b0ff4aa1	agent	documented-contract	hooks		Documented contract: 2. Source metadata matters (packages/agent/docs/hooks.md)
pi-agent-documented-contract-3-full-agentharness-lifecycle-state-pass-c776931dd3	agent	documented-contract	agent-harness		Documented contract: 3. Full `AgentHarness` lifecycle/state pass (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-3-some-extension-capabilities-are-registries-not-5168a83045	agent	documented-contract	hooks		Documented contract: 3. Some extension capabilities are registries, not hooks (packages/agent/docs/hooks.md)
pi-agent-documented-contract-4-existing-coding-agent-events-can-be-represente-695869f39a	agent	documented-contract	hooks		Documented contract: 4. Existing coding-agent events can be represented (packages/agent/docs/hooks.md)
pi-agent-documented-contract-4-implement-generic-hook-event-extension-mechani-a3489738a8	agent	documented-contract	agent-harness		Documented contract: 4. Implement generic hook/event extension mechanism (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-5-need-to-preserve-exact-old-semantics-85dfc7f3f0	agent	documented-contract	hooks		Documented contract: 5. Need to preserve exact old semantics (packages/agent/docs/hooks.md)
pi-agent-documented-contract-5-spike-semi-durable-harness-session-recovery-4c3631b94d	agent	documented-contract	agent-harness		Documented contract: 5. Spike semi-durable harness/session recovery (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-6-emit-switch-can-miss-custom-mutation-events-fa5742ad52	agent	documented-contract	hooks		Documented contract: 6. `emit()` switch can miss custom mutation events (packages/agent/docs/hooks.md)
pi-agent-documented-contract-6-final-lifecycle-hardening-suite-c9abb39e01	agent	documented-contract	agent-harness		Documented contract: 6. Final lifecycle hardening suite (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-7-later-coding-agent-migration-plan-c9f5a6009e	agent	documented-contract	agent-harness		Documented contract: 7. Later coding-agent migration plan (packages/agent/docs/agent-harness.md)
pi-agent-documented-contract-7-observer-semantics-are-intentionally-limited-0006024008	agent	documented-contract	hooks		Documented contract: 7. Observer semantics are intentionally limited (packages/agent/docs/hooks.md)
pi-agent-documented-contract-8-remove-agent-dependency-from-agentharness-ff17859068	agent	documented-contract	agent-harness		Documented contract: 8. Remove `Agent` dependency from `AgentHarness` (packages/agent/docs/agent-harness.md)
